window,C1,C_peak,C_layer_avg,C_layer_min,C_margin,C_overall,C_violation,C_layer_M6,C_layer_M5,C_layer_M4,C_layer_M3,C_layer_M2,C_layer_M1,C_layer_LISD
eq_win1,92.3%,95.0%,75.9%,56.6%,108.7%,56.6%,PASS,57.3%,57.3%,56.6%,91.2%,89.1%,89.4%,90.1%
eq_win2,100.0%,94.5%,102.7%,100.0%,100.0%,100.0%,PASS,100.0%,100.0%,101.8%,102.2%,104.1%,105.6%,105.2%
eq_win3,84.6%,98.7%,80.9%,79.9%,117.4%,79.9%,PASS,80.2%,81.0%,79.9%,81.5%,80.5%,80.6%,82.3%
eq_win4,96.2%,99.1%,87.3%,76.3%,104.3%,76.3%,PASS,76.3%,76.3%,76.3%,96.5%,95.0%,95.8%,95.3%
eq_win5,96.2%,90.6%,98.6%,95.7%,104.3%,95.7%,PASS,95.7%,96.1%,98.2%,97.8%,99.5%,101.4%,101.3%
algo_win1,100.0%,91.6%,103.5%,100.0%,100.0%,100.0%,PASS,100.0%,100.0%,102.7%,103.1%,105.4%,106.9%,106.5%
algo_win2,100.0%,91.6%,103.5%,100.0%,100.0%,100.0%,PASS,100.0%,100.0%,102.7%,103.1%,105.4%,106.9%,106.5%
