inst,cell,x_um,y_um,ir_orig_mV,ir_comp_mV,delta_mV
u1/FE_PHC7778_uk_K_r11_0,HB1xp67_ASAP7_75t_SL,228.384,295.776,43.1,47.6,4.5
u0/FE_PHC746_uk_K_r13_15,HB3xp67_ASAP7_75t_L,200.736,169.416,43.1,42.68,-0.42
u2/u4_u6_g1948,INVx1_ASAP7_75t_SL,319.536,253.656,43.1,,
u1/g30376,NAND2xp5_ASAP7_75t_SL,228.6,213.696,43.1,47.66,4.56
u2/u3_u5_g1900,INVx1_ASAP7_75t_SL,312.624,281.736,43.1,,
u1/g12291,NOR3xp33_ASAP7_75t_SL,176.976,200.736,43.1,46.76,3.66
u0/u14_u4_g2311,NAND2xp5_ASAP7_75t_SL,194.04,155.376,43.1,,
u1/g18134,OR2x2_ASAP7_75t_SL,102.456,199.656,43.1,44.13,1.03
u1/g12458,XNOR2xp5_ASAP7_75t_SL,103.32,254.736,43.1,47.35,4.25
u1/u6_u4_g2313,INVx1_ASAP7_75t_SL,141.552,283.896,43.1,47.22,4.12
u2/g15885,AOI321xp33_ASAP7_75t_SL,371.808,287.136,43.1,,
u2/u1_u6_g1927,INVx1_ASAP7_75t_SL,306.36,369.216,43.1,,
u1/g18433,AOI22xp5_ASAP7_75t_SL,116.28,211.536,43.1,47.3,4.2
u1/uk_K_r1_reg\[6\],,,,43.1,44.32,1.22
u1/g29365,AOI22xp5_ASAP7_75t_L,114.984,209.376,43.1,47.12,4.02
u2/g16310,XOR2xp5_ASAP7_75t_SL,354.96,275.256,43.1,,
u1/u8_u0_g2058,INVx1_ASAP7_75t_SL,178.704,254.736,43.1,47.17,4.07
u1/uk_K_r8_reg\[37\],,,,43.1,47.97,4.87
u1/g18173,NOR2xp33_ASAP7_75t_SL,105.264,209.376,43.09,46.11,3.02
u2/L3_reg\[6\],,,,43.09,36.38,-6.71
u0/u14_u2_g1999,OAI32xp33_ASAP7_75t_SL,174.6,143.496,43.09,41.89,-1.2
u1/g28763,AOI22xp5_ASAP7_75t_L,215.856,290.376,43.09,47.0,3.91
u1/R2_reg\[7\],,,,43.09,46.03,2.94
u1/FE_PHC1404_uk_K_r12_32,HB3xp67_ASAP7_75t_SL,267.264,243.936,43.09,46.13,3.04
u1/g29797,OAI22xp5_ASAP7_75t_SL,286.704,238.536,43.09,44.06,0.97
u1/L5_reg\[31\],,,,43.09,47.31,4.22
u0/u14_u0_g2037,NOR2xp33_ASAP7_75t_SL,156.024,145.656,43.09,,
u1/uk_K_r5_reg\[49\],,,,43.09,47.23,4.14
u1/u5_u0_g2054,AOI22xp5_ASAP7_75t_SL,117.36,265.536,43.09,47.62,4.53
u1/uk_K_r12_reg\[31\],,,,43.09,47.87,4.78
u1/u5_u0_g2029,OAI321xp33_ASAP7_75t_SL,118.44,267.696,43.09,47.67,4.58
u1/g16718,NOR2xp33_ASAP7_75t_SL,281.736,239.616,43.09,45.25,2.16
u1/u2_u0_g2049,OA21x2_ASAP7_75t_SL,125.136,173.736,43.09,43.96,0.87
u1/u5_u0_g2051,A2O1A1Ixp33_ASAP7_75t_SL,114.984,264.456,43.09,47.43,4.34
u1/g29036,AOI22xp5_ASAP7_75t_L,189.504,294.696,43.09,47.34,4.25
u1/g29237,AOI22xp5_ASAP7_75t_L,145.872,293.616,43.09,45.36,2.27
u1/g28891,XNOR2xp5_ASAP7_75t_SL,150.624,291.456,43.09,47.99,4.9
u1/g30833,NAND2xp5_ASAP7_75t_SL,102.456,240.696,43.09,47.21,4.12
u1/g30452,NAND2xp5_ASAP7_75t_SL,230.976,213.696,43.09,47.63,4.54
u0/u14_u0_g2025,AO22x1_ASAP7_75t_SL,155.16,139.176,43.09,42.36,-0.73
u1/FE_PHC4401_uk_K_r7_30,HB3xp67_ASAP7_75t_SL,174.816,290.376,43.09,44.44,1.35
u1/g30064,OA33x2_ASAP7_75t_SL,242.856,220.176,43.09,47.6,4.51
u1/u9_u0_g2046,NOR4xp25_ASAP7_75t_SL,186.696,205.056,43.09,47.45,4.36
u1/u8_u5_g1890,OAI31xp33_ASAP7_75t_SL,169.848,301.176,43.09,47.96,4.87
u0/g27994,AOI22xp5_ASAP7_75t_L,199.872,166.176,43.09,,
u0/u14_u2_g2018,NOR2xp33_ASAP7_75t_SL,173.736,142.416,43.09,41.89,-1.2
u2/u4_u6_g1938,INVx1_ASAP7_75t_SL,324.936,255.816,43.09,,
u1/g11347,AO22x1_ASAP7_75t_SL,139.824,290.376,43.09,47.5,4.41
u0/u13_u0_g1995,A2O1A1Ixp33_ASAP7_75t_SL,183.672,146.736,43.09,,
u1/g18110,NAND2xp5_ASAP7_75t_SL,104.4,211.536,43.09,43.59,0.5
u1/FE_PHC1771_R2_31,HB1xp67_ASAP7_75t_L,104.832,251.496,43.09,47.41,4.32
u0/g27944,AOI22xp5_ASAP7_75t_L,200.736,168.336,43.09,,
u1/g28621,AO22x1_ASAP7_75t_SL,225.144,299.016,43.09,47.32,4.23
u1/R5_reg\[4\],,,,43.09,46.93,3.84
u0/FE_PHC1457_R14_30,HB1xp67_ASAP7_75t_L,176.544,180.216,43.09,45.33,2.24
u1/g18276,INVx1_ASAP7_75t_SL,107.856,213.696,43.08,46.59,3.51
u1/u4_u2_g2050,INVx1_ASAP7_75t_SL,110.664,227.736,43.08,46.47,3.39
u1/g16733,XOR2xp5_ASAP7_75t_SL,274.392,247.176,43.08,47.16,4.08
u1/L11_reg\[9\],,,,43.08,47.64,4.56
u1/L4_reg\[28\],,,,43.08,47.77,4.69
u1/u5_u0_g2061,OR2x2_ASAP7_75t_SL,120.168,267.696,43.08,47.75,4.67
u2/FE_PHC7930_uk_K_r4_47,HB1xp67_ASAP7_75t_SL,342.0,265.536,43.08,,
u1/u7_u2_g2008,OR2x2_ASAP7_75t_SL,163.8,197.496,43.08,46.71,3.63
u0/u13_u0_g2032,NOR2xp33_ASAP7_75t_SL,178.704,139.176,43.08,,
u1/g16470,XNOR2xp5_ASAP7_75t_SL,165.744,191.016,43.08,46.34,3.26
u2/u0_u4_g2288,AND2x2_ASAP7_75t_SL,275.904,346.536,43.08,41.64,-1.44
u1/u2_u2_g2031,NAND2xp5_ASAP7_75t_SL,103.104,176.976,43.08,43.2,0.12
u1/g29431,AOI22xp5_ASAP7_75t_L,260.352,233.136,43.08,47.57,4.49
u1/u4_u2_g2024,NAND2xp5_ASAP7_75t_SL,103.536,229.896,43.08,47.17,4.09
u1/g30845,NAND2xp5_ASAP7_75t_SL,108.72,242.856,43.08,47.76,4.68
u1/u4_u2_g1999,OAI221xp5_ASAP7_75t_SL,105.264,227.736,43.08,47.08,4.0
u0/g18736,NOR2xp33_ASAP7_75t_SL,195.12,143.496,43.08,,
u1/u5_u0_g2036,AOI321xp33_ASAP7_75t_SL,114.552,261.216,43.08,47.59,4.51
u0/FE_PHC8287_n_1861,HB1xp67_ASAP7_75t_SL,178.272,137.016,43.08,,
u0/FE_PHC4781_R13_25,HB1xp67_ASAP7_75t_SL,183.888,160.776,43.08,43.52,0.44
u1/g18502,XNOR2xp5_ASAP7_75t_SL,104.616,202.896,43.08,45.82,2.74
u1/g29226,AOI22xp5_ASAP7_75t_SL,154.728,290.376,43.08,45.51,2.43
u0/u14_u4_g2314,NOR2xp33_ASAP7_75t_SL,191.664,153.216,43.08,42.06,-1.02
u1/uk_K_r11_reg\[52\],,,,43.08,47.92,4.84
u0/u14_u0_g2013,AOI31xp33_ASAP7_75t_SL,161.856,140.256,43.08,,
u1/g30233,AOI22xp5_ASAP7_75t_SL,250.2,223.416,43.08,47.57,4.49
u1/u14_u0_g2098,INVx1_ASAP7_75t_SL,289.728,256.896,43.08,45.38,2.3
u1/u4_u2_g2004,AOI22xp5_ASAP7_75t_SL,105.912,233.136,43.08,47.18,4.1
u0/u14_u4_g2284,AOI211xp5_ASAP7_75t_SL,184.968,149.976,43.08,42.3,-0.78
u1/g28622,AO22x1_ASAP7_75t_SL,229.032,299.016,43.08,47.39,4.31
u1/FE_PHC7916_R2_5,HB2xp67_ASAP7_75t_SL,103.752,215.856,43.08,44.1,1.02
u1/FE_PHC1712_L1_7,HB3xp67_ASAP7_75t_SL,104.616,203.976,43.08,,
u1/FE_PHC1711_L4_28,HB3xp67_ASAP7_75t_SL,110.016,255.816,43.08,47.62,4.54
