inst,cell,x_um,y_um,ir_orig_mV,ir_comp_mV,delta_mV
u2/CTS_ccl_a_buf_00126,BUFx6f_ASAP7_75t_SL,337.032,320.616,49.98,43.06,-6.92
u2/R0_reg\[10\],,,,49.57,42.54,-7.03
u2/uk_K_r1_reg\[17\],,,,49.25,42.48,-6.77
u2/CTS_ccl_a_buf_00116,BUFx6f_ASAP7_75t_SL,336.816,301.176,49.21,42.57,-6.64
u2/R1_reg\[12\],,,,49.08,26.84,-22.24
CTS_ccl_a_buf_00102,BUFx6f_ASAP7_75t_SL,293.832,301.176,48.87,46.58,-2.29
u2/L0_reg\[10\],,,,48.86,41.72,-7.14
u2/desIn_r_reg\[4\],,,,48.86,46.32,-2.54
u1/g16756,XNOR2xp5_ASAP7_75t_SL,295.992,301.176,48.8,45.59,-3.21
u2/FE_PHC5259_R0_1,HB1xp67_ASAP7_75t_SL,341.784,321.696,48.78,,
u2/L2_reg\[12\],,,,48.55,41.87,-6.68
u2/desIn_r_reg\[55\],,,,48.52,45.31,-3.21
u2/g15671,INVx1_ASAP7_75t_SL,337.248,318.456,48.5,,
u2/u2_u6_g1954,INVx1_ASAP7_75t_SL,325.8,330.336,48.5,,
u2/g15296,XNOR2xp5_ASAP7_75t_SL,323.856,330.336,48.48,,
u2/u2_u6_g1943,NOR2xp33_ASAP7_75t_SL,326.448,330.336,48.47,,
u2/u2_u6_g1942,NAND2xp5_ASAP7_75t_SL,328.608,320.616,48.45,,
u2/u2_u6_g1955,INVx1_ASAP7_75t_SL,329.688,320.616,48.44,,
u2/R2_reg\[12\],,,,48.43,26.01,-22.42
u2/uk_K_r1_reg\[4\],,,,48.41,41.39,-7.02
u2/u3_u4/g2174,AOI32xp33_ASAP7_75t_SL,333.792,302.256,48.41,,
u2/L1_reg\[6\],,,,48.39,41.31,-7.08
u2/u2_u6_g1947,NOR2xp33_ASAP7_75t_SL,330.336,320.616,48.39,,
u2/R1_reg\[7\],,,,48.39,25.99,-22.4
u2/g15465,INVx1_ASAP7_75t_SL,325.8,331.416,48.38,,
u2/u2_u6_g1915,AOI22xp5_ASAP7_75t_SL,325.152,318.456,48.38,,
u2/uk_K_r1_reg\[53\],,,,48.38,41.49,-6.89
u2/u2_u6_g1894,AO331x1_ASAP7_75t_SL,324.936,320.616,48.37,,
u2/u2_u6_g1917,AOI22xp5_ASAP7_75t_SL,327.528,330.336,48.37,,
u2/CTS_ccl_a_buf_00120,BUFx6f_ASAP7_75t_SL,337.248,289.296,48.37,41.76,-6.61
u2/u2_u6_g1918,AO22x1_ASAP7_75t_SL,324.288,329.256,48.36,,
u2/R1_reg\[14\],,,,48.35,26.16,-22.19
u2/L0_reg\[9\],,,,48.35,41.3,-7.05
u2/g15779,AOI22xp5_ASAP7_75t_SL,340.272,318.456,48.35,,
u2/g15624,AOI32xp33_ASAP7_75t_SL,336.816,317.376,48.35,,
u2/u2_u6_g1938,NOR2xp33_ASAP7_75t_SL,323.424,329.256,48.35,,
u2/u1_u2_g1952,OAI321xp33_ASAP7_75t_SL,349.56,344.376,48.35,,
u2/g15440,AOI22xp5_ASAP7_75t_SL,324.072,331.416,48.34,,
u2/g15822,XNOR2xp5_ASAP7_75t_SL,327.312,319.536,48.34,,
u2/u2_u6_g1950,NAND2xp5_ASAP7_75t_SL,327.312,331.416,48.33,,
u2/desIn_r_reg\[5\],,,,48.33,45.0,-3.33
u2/u2_u6_g1906,AOI22xp5_ASAP7_75t_SL,326.232,329.256,48.33,,
u2/u2_u6_g1924,NOR2xp33_ASAP7_75t_SL,328.608,321.696,48.33,,
u2/g15162,XNOR2xp5_ASAP7_75t_SL,351.288,344.376,48.33,,
u2/L2_reg\[5\],,,,48.33,42.4,-5.93
u2/R1_reg\[3\],,,,48.32,25.61,-22.71
u2/g15248,AOI22xp5_ASAP7_75t_SL,337.464,332.496,48.32,,
u2/u2_u6_g1923,NOR2xp33_ASAP7_75t_SL,327.528,321.696,48.32,,
u2/g15618,AOI32xp33_ASAP7_75t_SL,334.872,317.376,48.32,,
u2/u2_u6_g1897,OAI221xp5_ASAP7_75t_SL,322.992,319.536,48.31,,
u2/u2_u6_g1948,NOR2xp33_ASAP7_75t_SL,322.56,329.256,48.31,,
u2/u2_u6_g1903,AOI221xp5_ASAP7_75t_SL,322.992,320.616,48.31,,
u2/g15667,NAND2xp5_ASAP7_75t_SL,339.624,317.376,48.31,,
u2/R1_reg\[8\],,,,48.31,25.74,-22.57
u2/FE_PHC3686_desIn_r_47,HB2xp67_ASAP7_75t_SL,338.112,336.816,48.3,40.94,-7.36
u2/u2_u6_g1913,AOI22xp5_ASAP7_75t_SL,325.8,321.696,48.3,,
u2/FE_PHC6456_L1_32,HB1xp67_ASAP7_75t_SL,339.192,336.816,48.3,,
u2/FE_PHC6477_L2_25,HB1xp67_ASAP7_75t_SL,325.584,315.216,48.3,,
u2/u2_u6_g1936,INVx1_ASAP7_75t_SL,321.912,319.536,48.3,,
u2/g15476,NAND2xp5_ASAP7_75t_SL,328.176,331.416,48.3,,
u2/FE_PHC7426_uk_K_r0_12,HB1xp67_ASAP7_75t_SL,334.224,323.856,48.3,,
u2/g15375,XNOR2xp5_ASAP7_75t_SL,329.472,319.536,48.29,,
u2/uk_K_r0_reg\[48\],,,,48.29,41.02,-7.27
u2/u2_u6_g1933,NOR2xp33_ASAP7_75t_SL,324.504,321.696,48.29,,
u2/g15166,XNOR2xp5_ASAP7_75t_SL,347.4,344.376,48.29,,
u2/uk_K_r0_reg\[27\],,,,48.29,41.06,-7.23
u2/R2_reg\[7\],,,,48.28,26.23,-22.05
u2/R1_reg\[2\],,,,48.28,25.94,-22.34
u2/uk_K_r0_reg\[10\],,,,48.28,40.88,-7.4
u2/uk_K_r1_reg\[13\],,,,48.28,40.89,-7.39
u2/u2_u6_g1934,INVx1_ASAP7_75t_SL,323.424,321.696,48.28,,
u2/FE_PHC4365_R1_18,HB2xp67_ASAP7_75t_SL,336.168,323.856,48.28,,
u2/u2_u6_g1957,INVx1_ASAP7_75t_SL,321.696,329.256,48.28,,
u2/uk_K_r0_reg\[19\],,,,48.27,41.27,-7.0
u2/uk_K_r0_reg\[33\],,,,48.27,41.17,-7.1
u2/g15160,XNOR2xp5_ASAP7_75t_SL,349.344,343.296,48.27,,
u2/u1_u2_g2014,NAND2xp5_ASAP7_75t_SL,353.232,344.376,48.27,,
u2/uk_K_r1_reg\[24\],,,,48.26,40.29,-7.97
u2/uk_K_r1_reg\[25\],,,,48.26,41.31,-6.95
u2/uk_K_r0_reg\[6\],,,,48.26,41.1,-7.16
u2/g15763,XNOR2xp5_ASAP7_75t_SL,332.064,319.536,48.26,,
u2/L1_reg\[18\],,,,48.26,41.06,-7.2
u2/g15833,XNOR2xp5_ASAP7_75t_SL,332.064,326.016,48.26,,
u2/FE_PHC3411_uk_K_r0_11,HB1xp67_ASAP7_75t_L,351.936,338.976,48.25,,
u2/uk_K_r1_reg\[18\],,,,48.25,40.33,-7.92
u2/L2_reg\[25\],,,,48.25,42.42,-5.83
u2/uk_K_r0_reg\[12\],,,,48.25,41.18,-7.07
u2/R0_reg\[2\],,,,48.25,41.08,-7.17
u2/uk_K_r1_reg\[55\],,,,48.25,41.3,-6.95
u2/uk_K_r0_reg\[18\],,,,48.24,40.77,-7.47
u2/u2_u6_g1908,AOI22xp5_ASAP7_75t_SL,327.96,324.936,48.24,,
u2/g15609,OAI221xp5_ASAP7_75t_SL,334.872,316.296,48.24,,
u2/g15222,AOI22xp5_ASAP7_75t_SL,337.464,333.576,48.24,,
u2/g15775,INVx1_ASAP7_75t_SL,334.008,316.296,48.23,,
u2/L1_reg\[1\],,,,48.23,41.16,-7.07
u2/FE_PHC8219_n_4140,HB1xp67_ASAP7_75t_SL,325.8,324.936,48.23,41.87,-6.36
u2/R2_reg\[25\],,,,48.23,26.47,-21.76
u2/g15331,XOR2xp5_ASAP7_75t_SL,340.488,317.376,48.23,,
u2/FE_PHC1911_R0_14,HB2xp67_ASAP7_75t_SL,352.8,338.976,48.23,,
u2/L2_reg\[28\],,,,48.22,41.91,-6.31
u2/u3_u4/g2194,AND2x2_ASAP7_75t_SL,335.736,302.256,48.22,,
u2/g15491,OR2x2_ASAP7_75t_SL,322.344,331.416,48.22,,
u2/L2_reg\[32\],,,,48.22,41.33,-6.89
u2/R2_reg\[1\],,,,48.22,26.81,-21.41
u2/u2_u6_g1953,NOR2xp33_ASAP7_75t_SL,329.688,324.936,48.22,,
u2/u2_u6_g1905,AO21x1_ASAP7_75t_SL,326.448,326.016,48.22,,
u2/uk_K_r1_reg\[20\],,,,48.22,40.96,-7.26
u2/g15688,INVx1_ASAP7_75t_SL,334.656,315.216,48.22,,
u2/uk_K_r2_reg\[37\],,,,48.21,43.06,-5.15
u2/u2_u6_g1958,INVx1_ASAP7_75t_SL,323.64,328.176,48.21,,
u2/u2_u6_g1893,OAI221xp5_ASAP7_75t_SL,328.824,329.256,48.21,,
u2/u1_u2_g2018,INVx1_ASAP7_75t_SL,348.696,343.296,48.21,,
u2/u2_u6_g1951,NOR2xp33_ASAP7_75t_SL,324.504,328.176,48.21,,
u2/u2_u6_g1892,NAND3xp33_ASAP7_75t_SL,325.584,328.176,48.2,,
u2/u2_u6_g1912,OA22x2_ASAP7_75t_SL,320.4,320.616,48.2,,
u2/g15078,OR2x2_ASAP7_75t_SL,301.392,335.736,48.2,44.36,-3.84
u2/L1_reg\[16\],,,,48.2,40.55,-7.65
u2/L2_reg\[24\],,,,48.2,41.89,-6.31
u2/g15786,AOI22xp5_ASAP7_75t_L,340.272,319.536,48.19,,
u2/g15370,AOI22xp5_ASAP7_75t_SL,329.688,330.336,48.19,,
u2/u2_u6_g1916,XOR2xp5_ASAP7_75t_SL,329.688,326.016,48.19,,
u2/g15742,NOR2xp33_ASAP7_75t_SL,333.36,315.216,48.19,,
u2/FE_PHC5845_L2_30,HB1xp67_ASAP7_75t_SL,341.352,336.816,48.19,,
u2/u1_u2_g1977,A2O1A1Ixp33_ASAP7_75t_SL,349.776,345.456,48.18,,
u2/uk_K_r1_reg\[12\],,,,48.18,41.15,-7.03
u2/g15615,OAI221xp5_ASAP7_75t_SL,337.032,316.296,48.18,,
u2/FE_PHC7012_uk_K_r1_46,HB2xp67_ASAP7_75t_SL,343.512,321.696,48.18,,
u2/u1_u2_g2004,NAND2xp5_ASAP7_75t_SL,351.504,345.456,48.18,,
u2/u2_u6_g1896,AOI22xp5_ASAP7_75t_SL,327.096,328.176,48.18,,
u2/uk_K_r1_reg\[41\],,,,48.18,40.95,-7.23
u2/u2_u6_g1922,AND2x2_ASAP7_75t_SL,322.344,328.176,48.18,,
u2/g15395,XNOR2xp5_ASAP7_75t_SL,319.536,319.536,48.18,,
u2/g15637,OAI22xp5_ASAP7_75t_SL,332.712,317.376,48.18,,
u2/uk_K_r1_reg\[33\],,,,48.17,40.93,-7.24
u2/g15643,AOI32xp33_ASAP7_75t_SL,335.736,315.216,48.17,,
u2/u2_u6_g1941,NOR2xp33_ASAP7_75t_SL,320.4,329.256,48.17,,
u2/uk_K_r2_reg\[0\],,,,48.17,43.1,-5.07
u2/g15739,NOR2xp33_ASAP7_75t_SL,332.928,316.296,48.17,,
u2/FE_PHC5430_L1_24,HB1xp67_ASAP7_75t_SL,312.408,317.376,48.17,,
u2/R1_reg\[18\],,,,48.16,25.77,-22.39
u2/u1_u2_g2019,INVx1_ASAP7_75t_SL,352.584,345.456,48.16,,
u2/u2_u6_g1902,AO332x1_ASAP7_75t_SL,325.368,323.856,48.16,,
u2/u2_u6_g1887,OAI211xp5_ASAP7_75t_SL,322.992,322.776,48.16,,
u2/L0_reg\[6\],,,,48.16,40.96,-7.2
u2/g15512,XNOR2xp5_ASAP7_75t_SL,353.88,338.976,48.15,,
u2/u2_u6_g1895,AOI221xp5_ASAP7_75t_SL,327.96,323.856,48.15,,
u2/CTS_ccl_a_buf_00122,BUFx6f_ASAP7_75t_SL,301.608,336.816,48.15,44.21,-3.94
u2/u2_u6_g1900,OAI31xp33_ASAP7_75t_SL,323.208,324.936,48.15,,
u2/u2_u6_g1898,AO222x2_ASAP7_75t_SL,323.64,326.016,48.15,,
u2/u2_u6_g1910,A2O1A1Ixp33_ASAP7_75t_SL,325.152,322.776,48.15,,
u2/FE_PHC903_L1_26,HB2xp67_ASAP7_75t_L,311.76,314.136,48.15,,
u2/u2_u6_g1911,OAI32xp33_ASAP7_75t_SL,323.208,323.856,48.14,,
u2/FE_PHC838_uk_K_r0_17,HB3xp67_ASAP7_75t_L,329.472,323.856,48.14,,
u2/uk_K_r2_reg\[43\],,,,48.14,42.44,-5.7
u2/uk_K_r2_reg\[21\],,,,48.14,42.82,-5.32
u2/u2_u6_g1946,INVx1_ASAP7_75t_SL,330.12,328.176,48.14,,
u2/uk_K_r2_reg\[8\],,,,48.14,43.05,-5.09
u2/u2_u6_g1907,AO32x1_ASAP7_75t_SL,326.664,322.776,48.14,,
u2/g15839,XNOR2xp5_ASAP7_75t_SL,311.328,323.856,48.14,,
u2/uk_K_r1_reg\[34\],,,,48.14,40.86,-7.28
u2/uk_K_r2_reg\[51\],,,,48.14,43.1,-5.04
u2/u2_u6_g1935,INVx1_ASAP7_75t_SL,320.184,321.696,48.13,,
u2/u2_u6_g1959,INVx1_ASAP7_75t_SL,321.48,328.176,48.13,,
u2/u1_u2_g1993,XOR2xp5_ASAP7_75t_SL,354.096,344.376,48.13,,
u2/g15826,XNOR2xp5_ASAP7_75t_SL,332.064,328.176,48.13,,
u2/g16096,XNOR2xp5_ASAP7_75t_SL,335.52,288.216,48.13,,
u2/g15745,INVx1_ASAP7_75t_SL,339.408,316.296,48.13,,
u2/u2_u6_g1937,INVx1_ASAP7_75t_SL,322.128,323.856,48.13,,
u2/uk_K_r1_reg\[46\],,,,48.13,40.44,-7.69
u2/u1_u2_g2001,NOR2xp33_ASAP7_75t_SL,347.616,345.456,48.12,,
u2/uk_K_r0_reg\[32\],,,,48.12,40.71,-7.41
u2/u2_u6_g1929,NAND2xp5_ASAP7_75t_SL,326.664,327.096,48.12,,
u2/g15701,NOR2xp33_ASAP7_75t_SL,332.28,315.216,48.12,,
u2/u2_u6_g1901,AOI221xp5_ASAP7_75t_SL,329.688,322.776,48.12,,
u2/L1_reg\[24\],,,,48.12,43.52,-4.6
u2/u3_u4/g2219,INVx1_ASAP7_75t_SL,324.504,302.256,48.12,,
u2/u2_u6_g1949,NOR2xp33_ASAP7_75t_SL,327.528,327.096,48.11,,
u2/uk_K_r1_reg\[54\],,,,48.11,40.45,-7.66
u2/FE_PHC4520_R1_32,HB1xp67_ASAP7_75t_SL,330.768,328.176,48.11,,
u2/u2_u6_g1899,AOI33xp33_ASAP7_75t_SL,328.392,327.096,48.11,,
u2/FE_PHC6825_R1_2,HB2xp67_ASAP7_75t_L,345.672,321.696,48.1,,
u2/uk_K_r2_reg\[22\],,,,48.1,42.42,-5.68
u2/uk_K_r2_reg\[1\],,,,48.1,42.86,-5.24
u2/u2_u6_g1925,NOR2xp33_ASAP7_75t_SL,322.128,324.936,48.1,,
u2/u2_u6_g1914,AO22x1_ASAP7_75t_SL,323.856,327.096,48.1,,
u2/L1_reg\[3\],,,,48.1,39.82,-8.28
u2/FE_PHC7961_uk_K_r2_14,HB4xp67_ASAP7_75t_L,321.048,309.816,48.09,,
u2/u1_u2_g2013,NAND2xp5_ASAP7_75t_SL,353.448,345.456,48.09,,
u2/u2_u6_g1891,OAI311xp33_ASAP7_75t_SL,330.12,327.096,48.09,,
u2/g15771,INVx1_ASAP7_75t_SL,340.056,316.296,48.09,,
u2/g15354,AOI22xp5_ASAP7_75t_SL,350.424,320.616,48.09,,
u2/uk_K_r1_reg\[19\],,,,48.09,40.91,-7.18
u2/u3_u4/g2217,NOR2xp33_ASAP7_75t_SL,325.152,302.256,48.09,,
u2/uk_K_r2_reg\[36\],,,,48.09,43.12,-4.97
u2/R0_reg\[16\],,,,48.08,42.94,-5.14
u2/u2_u6_g1952,NAND2xp5_ASAP7_75t_SL,321.048,323.856,48.08,,
u2/g15587,XNOR2xp5_ASAP7_75t_SL,322.128,310.896,48.08,,
u2/uk_K_r1_reg\[47\],,,,48.08,40.42,-7.66
u2/g15736,NAND2xp5_ASAP7_75t_SL,332.064,316.296,48.08,,
u2/uk_K_r2_reg\[45\],,,,48.08,42.55,-5.53
u2/uk_K_r2_reg\[50\],,,,48.08,42.97,-5.11
u2/R2_reg\[26\],,,,48.08,26.32,-21.76
u2/R0_reg\[13\],,,,48.08,40.48,-7.6
u2/g15385,XNOR2xp5_ASAP7_75t_SL,319.536,330.336,48.07,,
u2/u2_u6_g1920,OAI22xp5_ASAP7_75t_SL,319.968,322.776,48.07,,
u2/u2_u6_g1904,A2O1A1Ixp33_ASAP7_75t_SL,322.128,326.016,48.07,,
u2/uk_K_r1_reg\[32\],,,,48.07,39.97,-8.1
u2/R0_reg\[6\],,,,48.07,43.5,-4.57
u2/g14990,XNOR2xp5_ASAP7_75t_SL,342.432,330.336,48.07,,
u2/uk_K_r2_reg\[38\],,,,48.06,42.46,-5.6
u2/FE_PHC815_uk_K_r0_5,HB2xp67_ASAP7_75t_L,348.048,327.096,48.06,,
u2/L2_reg\[26\],,,,48.06,41.9,-6.16
u2/FE_PHC5439_R0_28,HB1xp67_ASAP7_75t_SL,308.736,323.856,48.06,,
u2/g15570,AOI22xp5_ASAP7_75t_SL,342.864,337.896,48.06,,
u2/uk_K_r2_reg\[52\],,,,48.06,43.1,-4.96
u2/uk_K_r2_reg\[23\],,,,48.06,43.64,-4.42
u2/g16091,XNOR2xp5_ASAP7_75t_SL,322.992,301.176,48.06,,
u2/g15224,AOI22xp5_ASAP7_75t_SL,345.456,337.896,48.06,,
u2/u2_u6_g1888,AOI221xp5_ASAP7_75t_SL,321.912,327.096,48.06,,
u2/L1_reg\[26\],,,,48.06,43.72,-4.34
u2/g15414,OA332x1_ASAP7_75t_SL,326.016,332.496,48.05,,
u2/g15311,XNOR2xp5_ASAP7_75t_SL,350.208,342.216,48.05,,
u2/u3_u4/g2208,NAND2xp5_ASAP7_75t_SL,324.936,301.176,48.05,,
u2/u0_u2_g1991,XOR2xp5_ASAP7_75t_SL,298.152,320.616,48.05,44.54,-3.51
u2/u2_u6_g1939,NAND2xp5_ASAP7_75t_SL,320.832,324.936,48.05,,
u2/g15847,AOI22xp5_ASAP7_75t_SL,342.648,318.456,48.05,,
u2/R2_reg\[30\],,,,48.04,26.32,-21.72
u2/FE_PHC7158_uk_K_r2_36,HB2xp67_ASAP7_75t_SL,319.104,315.216,48.04,,
u2/FE_PHC7503_uk_K_r2_35,HB1xp67_ASAP7_75t_SL,320.184,309.816,48.04,,
u2/g15381,XNOR2xp5_ASAP7_75t_SL,339.84,341.136,48.04,,
u2/uk_K_r2_reg\[44\],,,,48.04,42.52,-5.52
u2/R1_reg\[11\],,,,48.04,26.49,-21.55
u2/FE_PHC361_uk_K_r2_30,HB2xp67_ASAP7_75t_L,316.728,321.696,48.04,,
u2/L0_reg\[12\],,,,48.04,43.42,-4.62
u2/L2_reg\[15\],,,,48.04,43.42,-4.62
u2/g15588,XNOR2xp5_ASAP7_75t_SL,325.368,310.896,48.03,,
u2/FE_PHC2114_R0_20,HB1xp67_ASAP7_75t_L,312.408,310.896,48.03,,
u2/FE_PHC4572_uk_K_r0_40,HB2xp67_ASAP7_75t_L,350.208,330.336,48.03,,
u2/uk_K_r2_reg\[31\],,,,48.03,43.31,-4.72
u2/uk_K_r1_reg\[5\],,,,48.03,40.43,-7.6
u2/g15566,AOI22xp5_ASAP7_75t_SL,345.24,338.976,48.03,,
u2/g15693,NOR2xp33_ASAP7_75t_SL,339.408,315.216,48.03,,
u2/g15759,XNOR2xp5_ASAP7_75t_SL,321.048,301.176,48.03,,
u2/FE_PHC103_desIn_r_13,HB3xp67_ASAP7_75t_L,320.832,326.016,48.02,42.17,-5.85
u2/uk_K_r2_reg\[9\],,,,48.02,43.72,-4.3
u2/u3_u4/g2198,OAI21xp5_ASAP7_75t_SL,332.28,301.176,48.02,,
u2/uk_K_r0_reg\[41\],,,,48.02,40.97,-7.05
u2/g15350,AOI22xp5_ASAP7_75t_L,349.776,327.096,48.01,,
u2/uk_K_r2_reg\[35\],,,,48.01,43.13,-4.88
u2/g15514,NOR2xp33_ASAP7_75t_SL,330.12,332.496,48.01,,
u2/R2_reg\[22\],,,,48.01,26.73,-21.28
u2/uk_K_r2_reg\[49\],,,,48.01,43.09,-4.92
u2/FE_PHC6873_R1_3,HB2xp67_ASAP7_75t_L,343.08,338.976,48.01,,
u2/u3_u4/g2205,NOR2xp33_ASAP7_75t_SL,325.8,301.176,48.01,,
u2/uk_K_r2_reg\[16\],,,,48.01,42.35,-5.66
u2/uk_K_r2_reg\[29\],,,,48.01,42.88,-5.13
u2/uk_K_r2_reg\[42\],,,,48.01,43.35,-4.66
u2/u3_u4/g2178,AOI22xp5_ASAP7_75t_SL,332.064,302.256,48.01,,
u2/R0_reg\[26\],,,,48.01,43.71,-4.3
u2/u3_u4/g2168,AOI222xp33_ASAP7_75t_SL,326.016,302.256,48.0,,
u2/uk_K_r1_reg\[10\],,,,48.0,40.27,-7.73
u2/g15353,AOI22xp5_ASAP7_75t_SL,349.128,321.696,48.0,,
u2/g15186,XNOR2xp5_ASAP7_75t_SL,302.688,335.736,48.0,43.91,-4.09
u2/g15652,OAI22xp5_ASAP7_75t_SL,333.36,314.136,48.0,,
u2/uk_K_r2_reg\[14\],,,,48.0,43.38,-4.62
u2/g15455,AND2x2_ASAP7_75t_SL,321.48,332.496,48.0,,
u2/g15444,AOI31xp33_ASAP7_75t_SL,329.04,333.576,47.99,,
u2/g15681,NOR2xp33_ASAP7_75t_SL,332.28,314.136,47.99,,
u2/g15187,XNOR2xp5_ASAP7_75t_SL,299.448,335.736,47.99,44.24,-3.75
u2/L0_reg\[13\],,,,47.99,44.1,-3.89
u2/g15605,AO331x1_ASAP7_75t_SL,334.872,314.136,47.99,,
u2/FE_PHC5052_uk_K_r0_33,HB1xp67_ASAP7_75t_SL,345.024,326.016,47.98,,
u2/u1_u2_g1990,INVx1_ASAP7_75t_SL,350.208,346.536,47.98,,
u2/FE_PHC7607_uk_K_r2_22,HB2xp67_ASAP7_75t_SL,319.104,310.896,47.98,,
u2/u3_u7_g2953,INVx1_ASAP7_75t_SL,309.6,301.176,47.98,,
u2/FE_PHC8167_n_3693,HB1xp67_ASAP7_75t_SL,329.904,335.736,47.98,,
u2/uk_K_r1_reg\[6\],,,,47.98,40.4,-7.58
u2/FE_PHC7087_uk_K_r2_29,HB2xp67_ASAP7_75t_SL,319.104,309.816,47.98,,
u2/FE_PHC5407_L1_12,HB1xp67_ASAP7_75t_SL,330.768,333.576,47.98,,
u2/uk_K_r0_reg\[3\],,,,47.98,40.67,-7.31
u1/CTS_ccl_a_buf_00056,BUFx5_ASAP7_75t_SL,207.864,266.616,47.98,53.02,5.04
u2/g15314,XOR2xp5_ASAP7_75t_SL,345.24,343.296,47.97,,
u2/R2_reg\[31\],,,,47.97,26.18,-21.79
u2/u2_u6_g1940,NAND2xp5_ASAP7_75t_SL,319.32,324.936,47.97,,
u2/desIn_r_reg\[58\],,,,47.97,44.8,-3.17
u2/u1_u2_g2017,NAND2xp5_ASAP7_75t_SL,354.528,345.456,47.97,,
u2/R2_reg\[21\],,,,47.97,26.36,-21.61
u2/u1_u2_g2005,NOR2xp33_ASAP7_75t_SL,351.072,346.536,47.97,,
u2/L1_reg\[20\],,,,47.97,43.26,-4.71
u2/FE_PHC6906_uk_K_r1_47,HB1xp67_ASAP7_75t_SL,351.072,327.096,47.97,,
u2/g15546,XNOR2xp5_ASAP7_75t_SL,351.72,330.336,47.97,,
u2/u1_u2_g2002,NOR2xp33_ASAP7_75t_SL,349.128,346.536,47.97,,
u2/desIn_r_reg\[47\],,,,47.96,44.85,-3.11
u2/g15807,AOI22xp5_ASAP7_75t_SL,342.864,317.376,47.96,,
u2/uk_K_r2_reg\[30\],,,,47.96,42.76,-5.2
u2/uk_K_r2_reg\[15\],,,,47.96,43.11,-4.85
u2/g15390,XNOR2xp5_ASAP7_75t_SL,329.688,334.656,47.96,,
u2/g15216,AOI22xp5_ASAP7_75t_SL,347.184,342.216,47.96,,
u2/u3_u7_g2886,OAI221xp5_ASAP7_75t_SL,311.544,304.416,47.96,,
u2/g15481,INVx1_ASAP7_75t_SL,328.608,338.976,47.96,,
u2/g15400,OA211x2_ASAP7_75t_SL,327.744,334.656,47.95,,
u2/R1_reg\[15\],,,,47.95,26.51,-21.44
u2/FE_PHC4758_uk_K_r0_19,HB1xp67_ASAP7_75t_SL,345.024,330.336,47.95,,
u2/g15567,AOI22xp5_ASAP7_75t_SL,353.016,335.736,47.95,,
u2/uk_K_r1_reg\[27\],,,,47.95,40.39,-7.56
u2/FE_PHC7392_uk_K_r1_20,HB1xp67_ASAP7_75t_SL,343.728,322.776,47.95,,
u2/uk_K_r2_reg\[28\],,,,47.95,42.45,-5.5
u2/u1_u2_g1969,AND4x1_ASAP7_75t_SL,351.936,346.536,47.95,,
u2/uk_K_r1_reg\[26\],,,,47.95,40.54,-7.41
u2/g15289,NAND2xp5_ASAP7_75t_SL,329.904,338.976,47.95,,
u2/g15407,AOI321xp33_ASAP7_75t_SL,325.368,335.736,47.95,,
u2/R0_reg\[24\],,,,47.94,43.72,-4.22
u2/g15303,XNOR2xp5_ASAP7_75t_SL,316.296,329.256,47.94,,
u2/g15645,AOI21xp5_ASAP7_75t_SL,341.568,316.296,47.94,,
u2/uk_K_r1_reg\[40\],,,,47.94,40.47,-7.47
u2/uk_K_r0_reg\[5\],,,,47.94,42.68,-5.26
u2/g15531,AOI22xp5_ASAP7_75t_SL,315.864,330.336,47.94,,
u2/FE_PHC7117_uk_K_r2_21,HB2xp67_ASAP7_75t_SL,319.104,313.056,47.94,,
u2/L2_reg\[4\],,,,47.94,43.84,-4.1
u2/u3_u7_g2879,OR5x1_ASAP7_75t_SL,308.304,305.496,47.94,,
u2/uk_K_r0_reg\[26\],,,,47.94,42.5,-5.44
u2/FE_PHC7904_R1_16,HB2xp67_ASAP7_75t_L,345.024,344.376,47.94,,
u2/u0_u2_g1999,NOR2xp33_ASAP7_75t_SL,301.824,319.536,47.94,44.14,-3.8
u2/u3_u7_g2916,OAI22xp5_ASAP7_75t_SL,308.304,301.176,47.94,,
u2/g15447,AND3x1_ASAP7_75t_SL,325.368,333.576,47.94,,
u2/g15523,AOI22xp5_ASAP7_75t_L,313.92,329.256,47.94,,
u2/FE_PHC3508_uk_K_r0_10,HB2xp67_ASAP7_75t_SL,343.512,334.656,47.94,,
u2/u0_u2_g1988,INVx1_ASAP7_75t_SL,301.176,319.536,47.93,44.21,-3.72
u2/R2_reg\[23\],,,,47.93,26.44,-21.49
u2/u3_u7_g2915,AOI22xp5_ASAP7_75t_SL,309.816,302.256,47.93,,
u2/FE_PHC8212_n_4133,HB1xp67_ASAP7_75t_SL,346.536,340.056,47.93,40.28,-7.65
u2/FE_PHC3109_uk_K_r0_3,HB1xp67_ASAP7_75t_L,351.072,340.056,47.93,,
u2/u3_u7_g2914,AOI22xp5_ASAP7_75t_SL,311.544,295.776,47.93,,
u2/L1_reg\[12\],,,,47.93,40.91,-7.02
u2/g15517,NOR2xp33_ASAP7_75t_SL,329.472,336.816,47.93,,
u2/u1_u2_g1955,AOI311xp33_ASAP7_75t_SL,350.64,347.616,47.93,,
u2/u3_u4/g2159,AND3x1_ASAP7_75t_SL,324.072,304.416,47.93,,
u2/FE_PHC1710_desIn_r_55,HB3xp67_ASAP7_75t_SL,307.224,323.856,47.93,43.37,-4.56
u2/FE_PHC5350_L1_28,HB1xp67_ASAP7_75t_SL,313.056,329.256,47.92,,
