signal_name,scope,width,x_um,y_um,source_type,cell_type
FE_OFN48_n_57,test.u0.u1,1,245.664,320.616,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN49_n_57,test.u0.u1,1,248.904,241.776,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN4_FE_DBTN0_n_57,test.u0.u1,1,153.648,287.136,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN51_n_57,test.u0.u1,1,208.296,301.176,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN52_n_57,test.u0.u1,1,189.936,233.136,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN53_n_57,test.u0.u1,1,205.488,237.456,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN54_n_57,test.u0.u1,1,124.92,233.136,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN55_n_57,test.u0.u1,1,150.84,232.056,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN56_n_57,test.u0.u1,1,205.056,301.176,net_driver,BUFx3_ASAP7_75t_SL
FE_OFN57_n_57,test.u0.u1,1,114.552,169.416,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN58_n_57,test.u0.u1,1,129.888,287.136,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN59_n_57,test.u0.u1,1,88.632,197.496,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN5_FE_DBTN0_n_57,test.u0.u1,1,199.656,223.416,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN5_decrypt,test.u0.u2,1,,,,
FE_OFN60_n_15,test.u0.u0,1,157.32,111.096,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN61_n_15,test.u0.u0,1,127.296,81.936,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN62_n_15,test.u0.u0,1,106.344,83.016,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN63_n_15,test.u0.u0,1,122.112,36.576,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN64_n_15,test.u0.u0,1,106.992,40.896,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN65_n_15,test.u0.u0,1,70.056,104.616,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN66_n_15,test.u0.u0,1,161.208,36.576,net_driver,BUFx3_ASAP7_75t_SL
FE_OFN67_n_15,test.u0.u0,1,194.472,111.096,net_driver,BUFx3_ASAP7_75t_SL
FE_OFN68_n_15,test.u0.u0,1,237.24,106.776,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN69_n_15,test.u0.u0,1,202.464,87.336,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN6_FE_DBTN0_n_57,test.u0.u1,1,249.768,290.376,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN6_decrypt,test.u0.u2,1,,,,
FE_OFN70_n_15,test.u0.u0,1,200.304,98.136,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN71_n_15,test.u0.u0,1,70.704,46.296,net_driver,BUFx3_ASAP7_75t_SL
FE_OFN72_FE_OFN0_FE_DBTN0_n_57,test.u0.u1,1,112.176,203.976,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN74_n_57,test.u0.u1,1,203.76,291.456,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN75_n_0,test.u0.u2,1,327.96,103.536,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN76_n_0,test.u0.u2,1,335.088,129.456,net_driver,BUFx2_ASAP7_75t_SL
