window_index,window_start_time,window_end_time,toggle_count
1,5000,54999,0
2,15000,64999,0
3,25000,74999,0
4,35000,84999,0
5,45000,94999,0
6,55000,104999,2
7,65000,114999,6
8,75000,124999,18
9,85000,134999,32
10,95000,144999,53
11,105000,154999,65
12,115000,164999,80
13,125000,174999,82
14,135000,184999,85
15,145000,194999,78
16,155000,204999,83
17,165000,214999,76
18,175000,224999,72
19,185000,234999,62
20,195000,244999,62
21,205000,254999,50
22,215000,264999,50
23,225000,274999,47
24,235000,284999,50
25,245000,294999,43
26,255000,304999,48
27,265000,314999,43
28,275000,324999,40
29,285000,334999,34
30,295000,344999,31
31,305000,354999,23
32,315000,364999,20
33,325000,374999,20
34,335000,384999,20
35,345000,394999,20
36,355000,404999,20
37,365000,414999,20
38,375000,424999,20
39,385000,434999,20
40,395000,444999,20
41,405000,454999,20
42,415000,464999,20
43,425000,474999,18
44,435000,484999,16
45,445000,494999,15
46,455000,504999,15
47,465000,514999,15
48,475000,524999,17
49,485000,534999,19
50,495000,544999,20
51,505000,554999,20
52,515000,564999,22
53,525000,574999,28
54,535000,584999,47
55,545000,594999,53
56,555000,604999,52
57,565000,614999,70
58,575000,624999,94
59,585000,634999,106
60,595000,644999,134
61,605000,654999,170
62,615000,664999,186
63,625000,674999,193
64,635000,684999,197
65,645000,694999,196
66,655000,704999,197
67,665000,714999,200
68,675000,724999,198
69,685000,734999,198
70,695000,744999,201
71,705000,754999,203
72,715000,764999,199
73,725000,774999,199
74,735000,784999,200
75,745000,794999,203
76,755000,804999,200
77,765000,814999,200
78,775000,824999,201
79,785000,834999,203
80,795000,844999,199
81,805000,854999,197
82,815000,864999,198
83,825000,874999,201
84,835000,884999,198
85,845000,894999,198
86,855000,904999,201
87,865000,914999,203
88,875000,924999,199
89,885000,934999,197
90,895000,944999,198
91,905000,954999,200
92,915000,964999,197
93,925000,974999,197
94,935000,984999,200
95,945000,994999,202
