time,value
0,1111
306000,1111
316000,1111
326000,1111
336000,1111
346000,1111
356000,1111
366000,1111
376000,1111
386000,1111
396000,1111
406000,1111
416000,1111
426000,1111
436000,1111
446000,1111
456000,1111
606000,1111
616000,1111
626000,1111
636000,1111
646000,1111
656000,1111
666000,1111
676000,1111
686000,1111
696000,1111
706000,1111
716000,1111
726000,1111
736000,1111
746000,1111
756000,1111
766000,1111
776000,1111
786000,1111
796000,1111
806000,1111
816000,1111
826000,1111
836000,1111
846000,1111
856000,1111
866000,1111
876000,1111
886000,1111
896000,1111
906000,1111
916000,1111
926000,1111
936000,1111
946000,1111
956000,1111
966000,1111
976000,1111
986000,1111
996000,1111
